"lat","lon","elev","PLreal","dist","horAngle","vertAngle","attVer","attHor","PLecc33","PLhata","BTS_ID"
-8.077222,-34.898186,6,130.075,1.15569708295628,-8.59602757941741,1.59516761040216,17.6,0.16,151.226377289644,134.803675725013,"BTS_01"
-8.077211,-34.899422,6,140.5,1.23120067417754,-3.14727623419572,1.69932330202619,17.6,0.02,152.063055008659,135.747402067143,"BTS_01"
-8.077209,-34.899433,6,133.4,1.23175016824744,-3.09593938408648,1.70008127774706,17.6,0.02,152.068975533406,135.754055942199,"BTS_01"
-8.077207,-34.898354,6,131.466666666667,1.16403981930429,-7.77528281010746,1.60667677885938,17.6,0.12,151.32116708455,134.910936030248,"BTS_01"
-8.07719,-34.898094,6,140.833333333333,1.14739310371129,-8.93550502830021,1.58371178118799,17.6,0.16,151.131424096807,134.696142032095,"BTS_01"
-8.077186,-34.899441,6,136.066666666667,1.23023432408967,-2.99149733087336,1.69799031093939,17.6,0.01,152.052637383617,135.735693236894,"BTS_01"
-8.077181,-34.89817,6,134.15,1.1508829678463,-8.55255803695741,1.58852627010899,17.6,0.16,151.171403413631,134.741429081546,"BTS_01"
-8.077177,-34.899437,6,141.8,1.22916892962062,-2.97979572535291,1.69652069510531,17.6,0.01,152.041143611112,135.722773665978,"BTS_01"
-8.077169,-34.898254,6,130.2,1.15460558423389,-8.12602813325179,1.59366183079034,17.6,0.16,151.213930930011,134.789585375923,"BTS_01"
-8.077158,-34.898006,5.9796591,130.6,1.13935526619909,-9.2608609214596,1.57185294492984,17.6,0.2,151.038932724238,134.59131096627,"BTS_01"
-8.07714,-34.898056,5.9958205,137.433333333333,1.1404643862576,-8.97144585609908,1.57399467119506,17.6,0.16,151.051729664228,134.605820233155,"BTS_01"
-8.077133,-34.899464,6.0050206,138.333333333333,1.22706155096309,-2.73114502223285,1.69381854520053,17.6,0.01,152.018382587458,135.69718539531,"BTS_01"
-8.077133,-34.899448,6.0008841,137.533333333333,1.22599445664788,-2.79672939055877,1.69217781050797,17.6,0.01,152.006844074536,135.684211728565,"BTS_01"
-8.077133,-34.898151,6,135.275,1.14523234014978,-8.50246394914973,1.58073085958961,17.6,0.16,151.106616727713,134.668033275393,"BTS_01"
-8.077127,-34.897911,5.9606004,130.625,1.13106039754782,-9.6273894318881,1.55969945348507,17.6,0.2,150.942875904539,134.482349374323,"BTS_01"
-8.077114,-34.899471,6.0057654,134.15,1.2258470438346,-2.64258247477119,1.69217338719856,17.6,0.01,152.005249396916,135.682418605026,"BTS_01"
-8.077102,-34.897942,5.9750757,132.833333333333,1.13039534542291,-9.40665196734363,1.5593259311354,17.6,0.2,150.935147438269,134.473578659841,"BTS_01"
-8.077097,-34.898041,5.994482,133.166666666667,1.13551084553398,-8.9184241833492,1.56711101985324,17.6,0.16,150.994490552335,134.540909537983,"BTS_01"
-8.077094,-34.897816,5.9551172,132.8,1.12261970470198,-9.99363655487275,1.54786144994655,17.6,0.2,150.844487986732,134.370648846463,"BTS_01"
-8.077086,-34.899464,6.0030847,134.9,1.22290201414255,-2.58269887495169,1.68800140056599,17.6,0.01,151.9733550741,135.646550124973,"BTS_01"
-8.077082,-34.899487,6.0063782,136,1.22409081495467,-2.47579679859081,1.68977541576432,17.6,0.01,151.986237832292,135.661039304682,"BTS_01"
-8.077062,-34.897713,5.9613266,129.925,1.11388664746832,-10.407670414007,1.53605562424179,17.6,0.25,150.742000407713,134.254191806821,"BTS_01"
-8.07706,-34.897823,5.9742532,129.775,1.11973088634863,-9.86259402819815,1.54459140466788,17.6,0.2,150.810664359231,134.332226460716,"BTS_01"
-8.077059,-34.897934,5.9860544,137.666666666667,1.12582739644175,-9.32129259709734,1.55343826730801,17.6,0.2,150.881954967632,134.41319669596,"BTS_01"
-8.077058,-34.899471,6.0026278,140.8,1.22089780765218,-2.46506038077359,1.68521799784516,17.6,0.01,151.951610798733,135.622090809352,"BTS_01"
-8.077043,-34.899479,6.0023284,134.966666666667,1.22011210407803,-2.38445288627173,1.68412196396065,17.6,0.01,151.94307781597,135.612491133487,"BTS_01"
-8.077034,-34.899506,6.0029821,133.3,1.22113847989896,-2.2451599693153,1.68556439150726,17.6,0.01,151.954223599593,135.625030091447,"BTS_01"
-8.077028,-34.89761,5.9834738,134.85,1.10501826782802,-10.8225985129831,1.52464438292701,17.6,0.25,150.637194244841,134.134992078678,"BTS_01"
-8.077023,-34.897827,5.9938388,131.133333333333,1.11639285972252,-9.73689065944245,1.54071537586465,17.6,0.2,150.771484854588,134.28770579456,"BTS_01"
-8.077021,-34.899487,6.0008898,135.166666666667,1.21871233029983,-2.28133982614389,1.68213268456883,17.6,0.01,151.927863766242,135.595373460233,"BTS_01"
-8.077016,-34.897705,5.9961996,131.6,1.10899983411866,-10.3166326661527,1.53060426901686,17.6,0.25,150.684339990694,134.188626132077,"BTS_01"
-8.077014,-34.899513,6.0004196,135.733333333333,1.21985220581483,-2.15247943975703,1.68368603144367,17.6,0.01,151.940254168747,135.60931435251,"BTS_01"
-8.076993,-34.899521,6,136.6,1.21854912167352,-2.05229817789893,1.68187150358426,17.6,0.01,151.926088854213,135.593376320928,"BTS_01"
-8.076993,-34.897499,6,131.1,1.09568723939724,-11.2818389223992,1.51237767746551,17.6,0.3,150.526113679097,134.008536628097,"BTS_01"
-8.076987,-34.899506,6,133.15,1.21700607274554,-2.09433735291236,1.6797429703542,17.6,0.01,151.909297603246,135.574481222974,"BTS_01"
-8.076987,-34.89772,6,134.966666666667,1.1070180645672,-10.1595504442993,1.52801024474366,17.6,0.25,150.660892608445,134.161954636327,"BTS_01"
-8.076969,-34.897587,6,135.166666666667,1.09804833626773,-10.7710074333581,1.51563518223507,17.6,0.25,150.554300079335,134.040636039092,"BTS_01"
-8.076956,-34.897385,6,133.233333333333,1.08607519003621,-11.7587438050642,1.49911624171238,17.6,0.3,150.41080887794,133.877141666647,"BTS_01"
-8.076955,-34.899536,6,132.966666666667,1.21623629666221,-1.86833394629934,1.67868111377956,17.6,0,151.90091394722,135.565046124736,"BTS_01"
-8.076955,-34.897617,6,127.933333333333,1.09830894191182,-10.5807789482802,1.51599472814023,17.6,0.25,150.557407860471,134.044174775384,"BTS_01"
-8.076941,-34.899525,6,133.75,1.21426178442984,-1.86792326621941,1.67595739593545,17.6,0,151.879387947907,135.540817318879,"BTS_01"
-8.076926,-34.897472,6,131.833333333333,1.08771673910811,-11.2305273677005,1.5013810456534,17.6,0.3,150.43056444761,133.899663479684,"BTS_01"
-8.076922,-34.897518,6,135.066666666667,1.08977653132826,-10.9856067655289,1.50422288250049,17.6,0.25,150.455316164997,133.927875493634,"BTS_01"
-8.076917,-34.899548,6,137.666666666667,1.21373108013478,-1.6959170723552,1.67522532079979,17.6,0,151.873596955561,135.534298445107,"BTS_01"
-8.076916,-34.897266,6.0239329,134.466666666667,1.07598759498333,-12.2618177057805,1.48605515677159,17.6,0.36,150.288824290753,133.737989536681,"BTS_01"
-8.076911,-34.899551,6,138.466666666667,1.21341208161443,-1.66411623304907,1.67478528097542,17.6,0,151.870114995493,135.530378674552,"BTS_01"
-8.076888,-34.897411,6,130.7,1.08077976492692,-11.4350162604913,1.49181024505821,17.6,0.3,150.346899371164,133.804256488119,"BTS_01"
-8.076888,-34.897358,6.0069571,132.466666666667,1.07799878340257,-11.7076981393629,1.48822273355933,17.6,0.3,150.313225180432,133.765836465307,"BTS_01"
-8.07688,-34.899559,6,133.4,1.21125547611321,-1.53014639107113,1.67181036448388,17.6,0,151.846553723777,135.503851805714,"BTS_01"
-8.076878,-34.899548,6,142.666666666667,1.21032719566928,-1.56852394269526,1.67052985083024,17.6,0,151.836400658446,135.492419145645,"BTS_01"
-8.076875,-34.897144,6.0694695,135.166666666667,1.0657343022616,-12.7874422632869,1.47351757465054,17.6,0.36,150.16379467474,133.595208357084,"BTS_01"
-8.076853,-34.897301,6.0280495,133.6,1.0715966487544,-11.9047317521174,1.48014033034988,17.6,0.3,150.235410283815,133.677011156539,"BTS_01"
-8.076853,-34.897243,6.0474992,135.033333333333,1.06860096313738,-12.2070964868461,1.47669662099552,17.6,0.36,150.198857806995,133.635265623466,"BTS_01"
-8.076844,-34.89957,6,137.433333333333,1.20887700892431,-1.36699245809575,1.66852939176613,17.6,0,151.82052542287,135.474541150169,"BTS_01"
-8.076833,-34.897018,6.1385045,130.233333333333,1.05527507877892,-13.3419080879313,1.46149682143336,17.6,0.43,150.035152707036,133.448137121172,"BTS_01"
-8.076817,-34.897186,6.0817814,131.15,1.06213279485833,-12.4060913245476,1.46897654633471,17.6,0.36,150.119624930943,133.544729722876,"BTS_01"
-8.076816,-34.897121,6.1091008,132.733333333333,1.05873437748777,-12.7469007764536,1.46524448698773,17.6,0.36,150.077824274607,133.49694038812,"BTS_01"
-8.076813,-34.89959,6,138.066666666667,1.20756378327267,-1.18306301765756,1.66671786007291,17.6,0,151.806134935026,135.458333106056,"BTS_01"
-8.076806,-34.899586,6,138.133333333333,1.2066802891171,-1.17617951240425,1.66549912045652,17.6,0,151.796445691296,135.447418956642,"BTS_01"
-8.076802,-34.899574,6,135.333333333333,1.20550443060076,-1.21188413578784,1.66387707529196,17.6,0,151.783540342839,135.432880714107,"BTS_01"
-8.07679,-34.896889,6.2324395,133.5,1.04467128585108,-13.9210220565172,1.450109340075,17.6,0.43,149.9035762091,133.297537425099,"BTS_01"
-8.076777,-34.897064,6.1592116,128.966666666667,1.05200410252051,-12.9427957234739,1.45769812150515,17.6,0.36,149.994690201105,133.401843299698,"BTS_01"
-8.076776,-34.896996,6.1938004,134.9,1.04851662916973,-13.3047514348294,1.45408389019623,17.6,0.43,149.951426843815,133.352326599805,"BTS_01"
-8.076767,-34.899601,6,132.433333333333,1.2043411311894,-0.98541263919833,1.66227235223576,17.6,0,151.770761851255,135.418483790529,"BTS_01"
-8.076746,-34.896755,6.3540406,134.033333333333,1.03383886723124,-14.5368652123099,1.43931856228872,17.6,0.5,149.767937565111,133.142103939871,"BTS_01"
